Date,Date_Time,Num_Coins,Reported_Hash,Calculated_Hash,Diff
2021-12-05,19:06:18.923975,843493.84805632,31,34,612.7105894800043
2021-12-05,19:21:29.288953,844471.77432276,30,44,977.9262664399575
2021-12-05,19:36:39.596407,845245.1275862,31,34,773.3532634400763
2021-12-05,19:51:50.007189,846047.05285057,31,39,801.9252643699292
2021-12-05,20:07:00.355277,846997.9105135,31,44,950.8576629300368
2021-12-05,20:22:10.866345,847744.08487314,31,39,746.1743596399901
2021-12-05,20:37:21.328405,848695.72362607,31,39,951.6387529299828
2021-12-05,20:52:31.862654,849864.99919901,31,24,1169.2755729400087
2021-12-05,21:07:42.373518,850107.83471026,31,5,242.83551125007216
2021-12-05,21:22:52.870476,850273.14181142,31,19,165.3071011599386
2021-12-05,21:38:03.200836,850421.55932764,31,19,148.41751622001175
2021-12-05,21:53:15.781870,850932.65351622,31,34,511.0941885800567
2021-12-05,22:08:26.842415,851874.72076447,31,34,942.0672482500086
2021-12-05,22:23:37.209895,852199.24742538,31,19,324.52666090999264
2021-12-05,22:38:47.602099,852422.28566502,31,15,223.0382396399509
2021-12-05,22:53:58.360208,852801.86001166,31,19,379.57434664003085
2021-12-05,23:09:08.992210,853080.48530926,31,29,278.62529759993777
2021-12-06,08:40:43.807021,853655.8268778,31,0,575.3415685400832
2021-12-06,08:55:54.254383,853738.03610226,31,10,82.20922445994802
2021-12-06,09:11:04.723468,854149.37399655,31,44,411.3378942899872
2021-12-06,09:26:15.206623,854457.76675347,31,53,308.39275691995863
2021-12-06,09:41:25.698916,854614.97001611,31,53,157.2032626400469
2021-12-06,09:56:35.937322,855635.67822154,31,29,1020.7082054299536
2021-12-06,10:11:46.340054,856323.51654544,31,48,687.8383239000104
2021-12-06,10:26:56.873305,857376.0425562,31,53,1052.5260107599895
2021-12-06,10:42:07.207583,857560.85231122,31,39,184.8097550200764
2021-12-06,10:57:17.620927,858085.95169417,31,24,525.099382949993
2021-12-06,11:12:28.136073,859217.73639332,31,19,1131.784699150012
2021-12-06,11:27:38.489689,859352.58158239,31,24,134.84518906997982
2021-12-06,11:42:49.029316,859750.39066577,31,39,397.8090833800379
2021-12-06,11:57:59.454152,860875.31606508,31,34,1124.9253993099555
2021-12-06,12:13:13.461847,861200.90507301,31,29,325.5890079300152
2021-12-06,12:28:23.920881,861605.30899064,31,34,404.40391762997024
2021-12-06,12:43:34.427043,862029.69792785,31,29,424.38893720996566
2021-12-06,12:58:44.796107,862847.98348025,31,73,818.2855524000479
